cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
1,1,249,Alcafaz,,,,,,,,,,,3750,11,AGADÃO
1,1,250,Caselho,,,,,,,,,,,3750,12,AGADÃO
1,1,251,Corga da Serra,,,,,,,,,,,3750,13,AGADÃO
1,1,252,Foz,,,,,,,,,,,3750,14,AGADÃO
1,1,253,Guistola,,,,,,,,,,,3750,15,AGADÃO
1,1,254,Guistolinha,,,,,,,,,,,3750,16,AGADÃO
1,1,255,Lomba,,,,,,,,,,,3750,17,AGADÃO
1,1,256,Povinha,,,,,,,,,,,3750,18,AGADÃO
1,1,257,Vila Mendo,,,,,,,,,,,3750,19,AGADÃO
1,1,258,Aguada de Baixo,,,,,,,,,,PC AGUADA DE BAIXO,3750,996,AGUADA DE BAIXO
1,1,258,Aguada de Baixo,,,,,,,,,,,3750,31,AGUADA DE BAIXO
1,1,260,Landiosa,,,,,,,,,,,3750,33,AGUADA DE BAIXO
1,1,262,Passadouro,,,,,,,,,,,3750,35,AGUADA DE BAIXO
1,1,263,Aguada de Cima,,,,,,,,,,PC AGUADA DE CIMA,3750,998,AGUADA DE CIMA
1,1,263,Aguada de Cima,,,,,,,,,,,3750,41,AGUADA DE CIMA
1,1,264,Aguadalte,,,,,,,,,,,3750,42,AGUADA DE CIMA
1,1,265,Almas da Areosa,,,,,,,,,,,3750,43,AGUADA DE CIMA
1,1,266,Bustelo,,,,,,,,,,,3750,44,AGUADA DE CIMA
1,1,267,Cabeço Grande,,,,,,,,,,,3750,45,AGUADA DE CIMA
1,1,268,Cadaval,,,,,,,,,,,3750,46,AGUADA DE CIMA
1,1,269,Canavai,,,,,,,,,,,3750,47,AGUADA DE CIMA
1,1,270,Carvalhitos,,,,,,,,,,,3750,48,AGUADA DE CIMA
1,1,271,Engenho,,,,,,,,,,,3750,49,AGUADA DE CIMA
1,1,272,Forcada,,,,,,,,,,,3750,50,AGUADA DE CIMA
1,1,273,Formigueiro,,,,,,,,,,,3750,51,AGUADA DE CIMA
